DataType,Date,Station id,Value,Station name,Latitude,Longitude
PRCP,2017-08-20,GHCND:US1TXAR0006,0.0,"ROCKPORT 3.0 NNW, TX US",28.082497,-97.062612
PRCP,2017-08-20,GHCND:US1TXAR0008,0.0,"ARANSAS PASS 6.1 NNW, TX US",27.972687,-97.134913
PRCP,2017-08-20,GHCND:USC00417176,0.0,"PORT ARANSAS 11 SSW, TX US",27.6998,-97.158
PRCP,2017-08-20,GHCND:USW00012972,0.0,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
PRCP,2017-08-20,GHCND:USW00023906,0.0,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
PRCP,2017-08-21,GHCND:USC00417176,0.0,"PORT ARANSAS 11 SSW, TX US",27.6998,-97.158
PRCP,2017-08-21,GHCND:USW00023906,0.0,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
PRCP,2017-08-21,GHCND:USW00012972,0.0,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
PRCP,2017-08-21,GHCND:US1TXAR0008,0.0,"ARANSAS PASS 6.1 NNW, TX US",27.972687,-97.134913
PRCP,2017-08-21,GHCND:US1TXAR0006,0.0,"ROCKPORT 3.0 NNW, TX US",28.082497,-97.062612
PRCP,2017-08-22,GHCND:USC00417176,0.0,"PORT ARANSAS 11 SSW, TX US",27.6998,-97.158
PRCP,2017-08-22,GHCND:US1TXAR0006,0.0,"ROCKPORT 3.0 NNW, TX US",28.082497,-97.062612
PRCP,2017-08-22,GHCND:USW00012972,0.0,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
PRCP,2017-08-22,GHCND:US1TXAR0008,0.0,"ARANSAS PASS 6.1 NNW, TX US",27.972687,-97.134913
PRCP,2017-08-22,GHCND:USW00023906,0.0,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
PRCP,2017-08-23,GHCND:US1TXAR0008,0.0,"ARANSAS PASS 6.1 NNW, TX US",27.972687,-97.134913
PRCP,2017-08-23,GHCND:USC00417176,0.0,"PORT ARANSAS 11 SSW, TX US",27.6998,-97.158
PRCP,2017-08-23,GHCND:USW00023906,0.0,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
PRCP,2017-08-23,GHCND:USW00012972,0.0,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
PRCP,2017-08-23,GHCND:US1TXAR0006,0.0,"ROCKPORT 3.0 NNW, TX US",28.082497,-97.062612
PRCP,2017-08-24,GHCND:US1TXAR0008,0.11,"ARANSAS PASS 6.1 NNW, TX US",27.972687,-97.134913
PRCP,2017-08-24,GHCND:USW00012972,0.2,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
PRCP,2017-08-24,GHCND:USW00023906,0.0,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
PRCP,2017-08-24,GHCND:US1TXAR0006,0.0,"ROCKPORT 3.0 NNW, TX US",28.082497,-97.062612
PRCP,2017-08-24,GHCND:USC00417176,0.0,"PORT ARANSAS 11 SSW, TX US",27.6998,-97.158
PRCP,2017-08-25,GHCND:USW00012972,2.68,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
PRCP,2017-08-25,GHCND:US1TXAR0005,1.43,"ROCKPORT 0.6 N, TX US",28.049727,-97.053149
PRCP,2017-08-25,GHCND:USW00023906,7.93,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
PRCP,2017-08-25,GHCND:USC00417176,0.47,"PORT ARANSAS 11 SSW, TX US",27.6998,-97.158
PRCP,2017-08-26,GHCND:USW00023906,6.65,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
PRCP,2017-08-27,GHCND:USW00023906,0.09,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
PRCP,2017-08-28,GHCND:USW00012972,0.0,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
PRCP,2017-08-28,GHCND:USW00023906,0.41,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
PRCP,2017-08-29,GHCND:USW00023906,0.0,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
PRCP,2017-08-29,GHCND:USW00012972,0.0,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
PRCP,2017-08-29,GHCND:US1TXAR0006,0.0,"ROCKPORT 3.0 NNW, TX US",28.082497,-97.062612
PRCP,2017-08-30,GHCND:USW00012972,0.0,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
PRCP,2017-08-30,GHCND:USW00023906,0.0,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
PRCP,2017-08-30,GHCND:USC00417176,0.0,"PORT ARANSAS 11 SSW, TX US",27.6998,-97.158
PRCP,2017-08-30,GHCND:US1TXAR0006,0.0,"ROCKPORT 3.0 NNW, TX US",28.082497,-97.062612
PRCP,2017-08-31,GHCND:US1TXAR0006,0.0,"ROCKPORT 3.0 NNW, TX US",28.082497,-97.062612
PRCP,2017-08-31,GHCND:USW00012972,0.0,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
PRCP,2017-08-31,GHCND:USW00023906,0.0,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
PRCP,2017-08-31,GHCND:USC00417176,0.0,"PORT ARANSAS 11 SSW, TX US",27.6998,-97.158
