DataType,Date,Station id,Value,Station name,Latitude,Longitude
PRCP,2017-09-05,GHCND:USC00085359,0.16,"MARCO ISLAND, FL US",25.9491,-81.7138
PRCP,2017-09-05,GHCND:USC00087760,0.0,"ROYAL PALM RANGER STATION, FL US",25.3866,-80.5936
PRCP,2017-09-05,GHCND:USW00092826,0.46,"EVERGLADES CITY 5 NE, FL US",25.8996,-81.3183
PRCP,2017-09-05,GHCND:US1FLCR0042,1.03,"CHOKOLOSKEE 0.3 ENE, FL US",25.816577,-81.357293
PRCP,2017-09-05,GHCND:USC00087020,0.0,"PERRINE 4 W, FL US",25.5819,-80.4361
PRCP,2017-09-05,GHCND:US1FLMD0059,0.0,"SOUTH MIAMI HEIGHTS 6.4 W, FL US",25.5827601,-80.4879962
PRCP,2017-09-06,GHCND:US1FLCR0042,0.1,"CHOKOLOSKEE 0.3 ENE, FL US",25.816577,-81.357293
PRCP,2017-09-06,GHCND:USC00087760,0.19,"ROYAL PALM RANGER STATION, FL US",25.3866,-80.5936
PRCP,2017-09-06,GHCND:USC00085359,0.01,"MARCO ISLAND, FL US",25.9491,-81.7138
PRCP,2017-09-06,GHCND:USC00087020,0.0,"PERRINE 4 W, FL US",25.5819,-80.4361
PRCP,2017-09-06,GHCND:USW00092826,0.0,"EVERGLADES CITY 5 NE, FL US",25.8996,-81.3183
PRCP,2017-09-06,GHCND:US1FLMD0059,0.0,"SOUTH MIAMI HEIGHTS 6.4 W, FL US",25.5827601,-80.4879962
PRCP,2017-09-07,GHCND:USC00087760,0.0,"ROYAL PALM RANGER STATION, FL US",25.3866,-80.5936
PRCP,2017-09-07,GHCND:US1FLMD0059,0.0,"SOUTH MIAMI HEIGHTS 6.4 W, FL US",25.5827601,-80.4879962
PRCP,2017-09-07,GHCND:USW00092826,2.42,"EVERGLADES CITY 5 NE, FL US",25.8996,-81.3183
PRCP,2017-09-07,GHCND:US1FLCR0042,0.0,"CHOKOLOSKEE 0.3 ENE, FL US",25.816577,-81.357293
PRCP,2017-09-07,GHCND:USC00085359,0.0,"MARCO ISLAND, FL US",25.9491,-81.7138
PRCP,2017-09-07,GHCND:US1FLCR0012,0.07,"NAPLES 5.7 SE, FL US",26.097565,-81.722053
PRCP,2017-09-07,GHCND:USC00087020,3.15,"PERRINE 4 W, FL US",25.5819,-80.4361
PRCP,2017-09-08,GHCND:USC00085359,0.15,"MARCO ISLAND, FL US",25.9491,-81.7138
PRCP,2017-09-08,GHCND:USC00087760,0.11,"ROYAL PALM RANGER STATION, FL US",25.3866,-80.5936
PRCP,2017-09-08,GHCND:US1FLCR0042,0.77,"CHOKOLOSKEE 0.3 ENE, FL US",25.816577,-81.357293
PRCP,2017-09-08,GHCND:USC00087020,0.01,"PERRINE 4 W, FL US",25.5819,-80.4361
PRCP,2017-09-08,GHCND:US1FLCR0012,0.04,"NAPLES 5.7 SE, FL US",26.097565,-81.722053
PRCP,2017-09-08,GHCND:USW00092826,1.3,"EVERGLADES CITY 5 NE, FL US",25.8996,-81.3183
PRCP,2017-09-08,GHCND:US1FLMD0059,3.6,"SOUTH MIAMI HEIGHTS 6.4 W, FL US",25.5827601,-80.4879962
PRCP,2017-09-09,GHCND:USC00087020,1.35,"PERRINE 4 W, FL US",25.5819,-80.4361
PRCP,2017-09-09,GHCND:USW00092826,1.28,"EVERGLADES CITY 5 NE, FL US",25.8996,-81.3183
PRCP,2017-09-09,GHCND:USC00087760,2.16,"ROYAL PALM RANGER STATION, FL US",25.3866,-80.5936
PRCP,2017-09-09,GHCND:US1FLCR0012,0.0,"NAPLES 5.7 SE, FL US",26.097565,-81.722053
PRCP,2017-09-09,GHCND:USC00085359,0.13,"MARCO ISLAND, FL US",25.9491,-81.7138
PRCP,2017-09-10,GHCND:USC00085359,1.26,"MARCO ISLAND, FL US",25.9491,-81.7138
PRCP,2017-09-10,GHCND:USW00092826,8.1,"EVERGLADES CITY 5 NE, FL US",25.8996,-81.3183
PRCP,2017-09-10,GHCND:USC00087760,8.5,"ROYAL PALM RANGER STATION, FL US",25.3866,-80.5936
PRCP,2017-09-11,GHCND:USC00087760,0.05,"ROYAL PALM RANGER STATION, FL US",25.3866,-80.5936
PRCP,2017-09-11,GHCND:USW00092826,0.08,"EVERGLADES CITY 5 NE, FL US",25.8996,-81.3183
PRCP,2017-09-11,GHCND:USC00085359,7.2,"MARCO ISLAND, FL US",25.9491,-81.7138
PRCP,2017-09-12,GHCND:USC00087020,0.0,"PERRINE 4 W, FL US",25.5819,-80.4361
PRCP,2017-09-12,GHCND:USW00092826,0.0,"EVERGLADES CITY 5 NE, FL US",25.8996,-81.3183
PRCP,2017-09-12,GHCND:USC00087760,0.01,"ROYAL PALM RANGER STATION, FL US",25.3866,-80.5936
PRCP,2017-09-12,GHCND:USC00085359,0.03,"MARCO ISLAND, FL US",25.9491,-81.7138
PRCP,2017-09-13,GHCND:USC00087760,0.0,"ROYAL PALM RANGER STATION, FL US",25.3866,-80.5936
PRCP,2017-09-13,GHCND:USC00087020,0.0,"PERRINE 4 W, FL US",25.5819,-80.4361
PRCP,2017-09-13,GHCND:USC00085359,0.0,"MARCO ISLAND, FL US",25.9491,-81.7138
PRCP,2017-09-14,GHCND:USC00087020,0.57,"PERRINE 4 W, FL US",25.5819,-80.4361
PRCP,2017-09-14,GHCND:US1FLMD0059,0.0,"SOUTH MIAMI HEIGHTS 6.4 W, FL US",25.5827601,-80.4879962
PRCP,2017-09-14,GHCND:USC00085359,0.0,"MARCO ISLAND, FL US",25.9491,-81.7138
PRCP,2017-09-14,GHCND:USC00087760,0.05,"ROYAL PALM RANGER STATION, FL US",25.3866,-80.5936
PRCP,2017-09-15,GHCND:USC00087760,0.0,"ROYAL PALM RANGER STATION, FL US",25.3866,-80.5936
PRCP,2017-09-15,GHCND:USC00085359,0.55,"MARCO ISLAND, FL US",25.9491,-81.7138
PRCP,2017-09-15,GHCND:US1FLCR0012,0.39,"NAPLES 5.7 SE, FL US",26.097565,-81.722053
PRCP,2017-09-15,GHCND:US1FLMD0059,0.0,"SOUTH MIAMI HEIGHTS 6.4 W, FL US",25.5827601,-80.4879962
PRCP,2017-09-15,GHCND:USC00087020,0.0,"PERRINE 4 W, FL US",25.5819,-80.4361
PRCP,2017-09-16,GHCND:US1FLMD0059,0.0,"SOUTH MIAMI HEIGHTS 6.4 W, FL US",25.5827601,-80.4879962
PRCP,2017-09-16,GHCND:US1FLCR0012,0.0,"NAPLES 5.7 SE, FL US",26.097565,-81.722053
PRCP,2017-09-16,GHCND:USC00087760,0.0,"ROYAL PALM RANGER STATION, FL US",25.3866,-80.5936
PRCP,2017-09-16,GHCND:USC00085359,0.0,"MARCO ISLAND, FL US",25.9491,-81.7138
PRCP,2017-09-16,GHCND:USC00087020,0.0,"PERRINE 4 W, FL US",25.5819,-80.4361
